NAME,MedianHouseIncome
"Census Tract 178.11, San Diego County, California",111250
"Census Tract 178.13, San Diego County, California",107500
"Census Tract 179, San Diego County, California",70500
"Census Tract 180, San Diego County, California",86454
"Census Tract 181, San Diego County, California",69758
"Census Tract 182, San Diego County, California",48134
"Census Tract 183, San Diego County, California",68750
"Census Tract 184, San Diego County, California",48004
"Census Tract 185.04, San Diego County, California",76445
"Census Tract 185.07, San Diego County, California",72443
"Census Tract 185.09, San Diego County, California",50950
"Census Tract 185.10, San Diego County, California",71154
"Census Tract 185.11, San Diego County, California",55043
"Census Tract 185.12, San Diego County, California",47825
"Census Tract 185.13, San Diego County, California",79412
"Census Tract 185.14, San Diego County, California",92438
"Census Tract 185.15, San Diego County, California",84500
"Census Tract 185.16, San Diego County, California",81316
"Census Tract 185.17, San Diego County, California",60511
"Census Tract 185.18, San Diego County, California",78958
"Census Tract 185.19, San Diego County, California",57554
"Census Tract 186.01, San Diego County, California",94821
"Census Tract 186.03, San Diego County, California",35127
"Census Tract 186.08, San Diego County, California",89861
"Census Tract 186.09, San Diego County, California",63956
"Census Tract 186.10, San Diego County, California",63188
"Census Tract 186.11, San Diego County, California",102786
"Census Tract 186.12, San Diego County, California",83533
"Census Tract 186.13, San Diego County, California",75956
"Census Tract 186.14, San Diego County, California",48983
"Census Tract 187, San Diego County, California",42061
"Census Tract 188.01, San Diego County, California",84948
"Census Tract 188.02, San Diego County, California",103034
"Census Tract 188.03, San Diego County, California",77813
"Census Tract 189.03, San Diego County, California",53080
"Census Tract 189.04, San Diego County, California",45972
"Census Tract 189.05, San Diego County, California",54227
"Census Tract 189.06, San Diego County, California",59801
"Census Tract 190.01, San Diego County, California",89614
"Census Tract 190.02, San Diego County, California",74028
"Census Tract 191.01, San Diego County, California",85250
"Census Tract 191.03, San Diego County, California",103717
"Census Tract 191.05, San Diego County, California",86764
"Census Tract 191.06, San Diego County, California",84589
"Census Tract 191.07, San Diego County, California",76071
"Census Tract 192.03, San Diego County, California",79191
"Census Tract 192.05, San Diego County, California",51420
"Census Tract 192.06, San Diego County, California",66176
"Census Tract 192.07, San Diego County, California",63977
"Census Tract 192.08, San Diego County, California",84142
"Census Tract 193.01, San Diego County, California",105135
"Census Tract 193.02, San Diego County, California",55944
"Census Tract 193.03, San Diego County, California",75714
"Census Tract 194.03, San Diego County, California",84068
"Census Tract 194.04, San Diego County, California",76000
"Census Tract 194.05, San Diego County, California",68750
"Census Tract 194.06, San Diego County, California",69302
"Census Tract 195.01, San Diego County, California",49297
"Census Tract 195.02, San Diego County, California",43968
"Census Tract 195.03, San Diego County, California",63733
"Census Tract 196.01, San Diego County, California",64315
"Census Tract 196.02, San Diego County, California",66556
"Census Tract 197.01, San Diego County, California",62361
"Census Tract 197.02, San Diego County, California",91483
"Census Tract 198.03, San Diego County, California",88500
"Census Tract 198.04, San Diego County, California",108750
"Census Tract 198.05, San Diego County, California",45195
"Census Tract 198.06, San Diego County, California",106513
"Census Tract 198.08, San Diego County, California",71653
"Census Tract 198.09, San Diego County, California",89960
"Census Tract 199.02, San Diego County, California",72770
"Census Tract 199.03, San Diego County, California",80257
"Census Tract 199.04, San Diego County, California",78427
"Census Tract 199.05, San Diego County, California",75543
"Census Tract 200.13, San Diego County, California",123594
"Census Tract 200.14, San Diego County, California",107268
"Census Tract 200.15, San Diego County, California",99261
"Census Tract 200.16, San Diego County, California",145673
"Census Tract 200.17, San Diego County, California",51429
"Census Tract 200.18, San Diego County, California",52670
"Census Tract 200.19, San Diego County, California",62802
"Census Tract 200.20, San Diego County, California",118448
"Census Tract 200.21, San Diego County, California",69907
"Census Tract 200.22, San Diego County, California",97589
"Census Tract 200.23, San Diego County, California",82434
"Census Tract 200.24, San Diego County, California",67756
"Census Tract 200.25, San Diego County, California",64935
"Census Tract 200.26, San Diego County, California",77688
"Census Tract 200.27, San Diego County, California",118944
"Census Tract 200.28, San Diego County, California",36324
"Census Tract 200.29, San Diego County, California",45703
"Census Tract 201.03, San Diego County, California",103457
"Census Tract 201.05, San Diego County, California",70082
"Census Tract 201.06, San Diego County, California",82679
"Census Tract 201.07, San Diego County, California",92083
"Census Tract 201.08, San Diego County, California",57566
"Census Tract 201.09, San Diego County, California",83967
"Census Tract 202.02, San Diego County, California",39560
"Census Tract 202.06, San Diego County, California",47917
"Census Tract 202.07, San Diego County, California",41282
"Census Tract 202.08, San Diego County, California",66786
"Census Tract 202.09, San Diego County, California",38674
"Census Tract 202.10, San Diego County, California",52057
"Census Tract 202.11, San Diego County, California",41687
"Census Tract 202.13, San Diego County, California",37930
"Census Tract 202.14, San Diego County, California",32635
"Census Tract 203.04, San Diego County, California",93125
"Census Tract 203.05, San Diego County, California",83892
"Census Tract 203.06, San Diego County, California",68386
"Census Tract 203.07, San Diego County, California",59640
"Census Tract 203.08, San Diego County, California",34948
"Census Tract 203.09, San Diego County, California",76607
"Census Tract 204.01, San Diego County, California",115500
"Census Tract 204.03, San Diego County, California",95254
"Census Tract 204.04, San Diego County, California",83920
"Census Tract 204.05, San Diego County, California",114205
"Census Tract 205, San Diego County, California",54767
"Census Tract 206.01, San Diego County, California",58711
"Census Tract 206.02, San Diego County, California",66655
"Census Tract 207.05, San Diego County, California",99559
"Census Tract 207.06, San Diego County, California",115540
"Census Tract 207.07, San Diego County, California",51920
"Census Tract 207.08, San Diego County, California",92467
"Census Tract 207.09, San Diego County, California",102072
"Census Tract 207.10, San Diego County, California",117647
"Census Tract 208.01, San Diego County, California",107500
"Census Tract 208.05, San Diego County, California",65160
"Census Tract 208.06, San Diego County, California",63448
"Census Tract 208.07, San Diego County, California",93947
"Census Tract 208.09, San Diego County, California",85064
"Census Tract 208.10, San Diego County, California",118378
"Census Tract 208.11, San Diego County, California",110995
"Census Tract 209.02, San Diego County, California",92917
"Census Tract 209.03, San Diego County, California",43274
"Census Tract 209.04, San Diego County, California",55560
"Census Tract 210, San Diego County, California",39761
"Census Tract 211, San Diego County, California",49231
"Census Tract 212.02, San Diego County, California",89844
"Census Tract 212.04, San Diego County, California",116680
"Census Tract 212.05, San Diego County, California",62051
"Census Tract 212.06, San Diego County, California",113542
"Census Tract 213.02, San Diego County, California",91071
"Census Tract 213.03, San Diego County, California",134712
"Census Tract 213.04, San Diego County, California",119020
"Census Tract 214, San Diego County, California",72992
"Census Tract 215, San Diego County, California",196299
"Census Tract 216, San Diego County, California",76929
"Census Tract 218, San Diego County, California",119583
"Census Tract 219, San Diego County, California",44167
"Census Tract 220, San Diego County, California",43029
"Census Tract 221, San Diego County, California",105975
