ID,NAME,income
301,"Census Tract 133.01, San Diego County, California",74146
302,"Census Tract 133.02, San Diego County, California",74279
303,"Census Tract 133.03, San Diego County, California",54492
304,"Census Tract 133.06, San Diego County, California",63056
305,"Census Tract 133.07, San Diego County, California",84500
306,"Census Tract 133.08, San Diego County, California",67500
307,"Census Tract 133.09, San Diego County, California",89707
308,"Census Tract 133.1, San Diego County, California",93222
309,"Census Tract 133.11, San Diego County, California",106028
310,"Census Tract 133.12, San Diego County, California",72434
311,"Census Tract 133.13, San Diego County, California",112801
312,"Census Tract 133.14, San Diego County, California",114519
313,"Census Tract 134.01, San Diego County, California",80811
314,"Census Tract 134.09, San Diego County, California",84097
315,"Census Tract 134.10, San Diego County, California",121701
316,"Census Tract 134.11, San Diego County, California",93077
317,"Census Tract 134.12, San Diego County, California",96675
318,"Census Tract 134.14, San Diego County, California",102762
319,"Census Tract 134.15, San Diego County, California",91042
320,"Census Tract 134.16, San Diego County, California",91307
321,"Census Tract 134.17, San Diego County, California",132865
322,"Census Tract 134.18, San Diego County, California",87574
323,"Census Tract 134.19, San Diego County, California",109583
324,"Census Tract 134.20, San Diego County, California",92656
325,"Census Tract 134.21, San Diego County, California",92183
326,"Census Tract 135.03, San Diego County, California",63095
327,"Census Tract 135.04, San Diego County, California",84097
328,"Census Tract 135.05, San Diego County, California",71065
329,"Census Tract 135.06, San Diego County, California",70000
330,"Census Tract 136.01, San Diego County, California",81875
331,"Census Tract 136.04, San Diego County, California",84519
332,"Census Tract 136.05, San Diego County, California",109792
333,"Census Tract 136.06, San Diego County, California",78694
334,"Census Tract 137.01, San Diego County, California",91944
335,"Census Tract 137.02, San Diego County, California",62677
336,"Census Tract 138.01, San Diego County, California",67561
337,"Census Tract 138.02, San Diego County, California",53750
338,"Census Tract 139.03, San Diego County, California",70734
339,"Census Tract 139.05, San Diego County, California",88207
340,"Census Tract 139.06, San Diego County, California",48750
341,"Census Tract 139.07, San Diego County, California",46655
342,"Census Tract 139.08, San Diego County, California",67917
343,"Census Tract 139.09, San Diego County, California",60944
344,"Census Tract 140.01, San Diego County, California",55313
345,"Census Tract 140.02, San Diego County, California",81667
346,"Census Tract 141.01, San Diego County, California",68850
347,"Census Tract 141.02, San Diego County, California",62165
348,"Census Tract 142, San Diego County, California",80464
349,"Census Tract 143, San Diego County, California",62929
350,"Census Tract 144, San Diego County, California",33824
351,"Census Tract 145, San Diego County, California",60058
352,"Census Tract 146.01, San Diego County, California",42500
353,"Census Tract 146.02, San Diego County, California",91058
354,"Census Tract 147, San Diego County, California",70871
355,"Census Tract 148.03, San Diego County, California",57838
356,"Census Tract 148.04, San Diego County, California",60556
357,"Census Tract 148.05, San Diego County, California",59051
358,"Census Tract 148.06, San Diego County, California",48582
359,"Census Tract 149.01, San Diego County, California",59955
360,"Census Tract 149.02, San Diego County, California",60729
